ZoneURI,DistrictURI,DistrictWikidata,Distrito,Subepígrafe,Apartado,FileNumber,PropertyNature,SituationTarget,Destination,Plot
http://linkeddata.greenzonesmadrid.org/resource/zone/1,http://linkeddata.greenzonesmadrid.org/resource/district/CENTRO,Q1763376,CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300000,URBANA,"CALLE DE BAILEN NUM 15","DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.","5025.42 m2"
http://linkeddata.greenzonesmadrid.org/resource/zone/2,http://linkeddata.greenzonesmadrid.org/resource/district/CENTRO,Q1763376,CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300001,URBANA,"CALLE DE BAILEN NUM 6","DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADAUNA CASETA DE GUARDAS.","26814.00 m2"
http://linkeddata.greenzonesmadrid.org/resource/zone/3,http://linkeddata.greenzonesmadrid.org/resource/district/CENTRO,Q1763376,CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300002,URBANA,"CALLE DEL MESON DE PAREDES, NUM. 37 C/V C/ DE AMPARO NUM 26","DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.","2979.20 m2"
http://linkeddata.greenzonesmadrid.org/resource/zone/4,http://linkeddata.greenzonesmadrid.org/resource/district/CENTRO,Q1763376,CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300003,URBANA,"CALLE MESON DE PAREDES NUM 68","DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.","1637.34 m2"
http://linkeddata.greenzonesmadrid.org/resource/zone/5,http://linkeddata.greenzonesmadrid.org/resource/district/CENTRO,Q1763376,CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300004,URBANA,"CALLE DE SEGOVIA NUM 12","DOTACIONAL SERVCIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO TOTALMENTE PARA JARDIN PUBLICO. PROYECTODEL BARRIO HISTORICO.","172.90 m2"
http://linkeddata.greenzonesmadrid.org/resource/zone/6,http://linkeddata.greenzonesmadrid.org/resource/district/CENTRO,Q1763376,CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300005,URBANA,"CALLE DE SEGOVIA, Nº 21-23 Y C/ DE LA MORERÍA, Nº 28","DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO TOTALMENTE POR LOS ACCESOS AL VIADUCTO.","5462.95 m2"
http://linkeddata.greenzonesmadrid.org/resource/zone/7,http://linkeddata.greenzonesmadrid.org/resource/district/CENTRO,Q1763376,CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300006,URBANA,"CALLE DE SEGOVIA, Nº27 C/V CUESTA DE LOS CIEGOS","DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADA PARA ZONA VERDE. ACCESOS AL VIADUCTO.","1001.53 m2"
http://linkeddata.greenzonesmadrid.org/resource/zone/8,http://linkeddata.greenzonesmadrid.org/resource/district/CENTRO,Q1763376,CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300007,URBANA,"CALLE DE SEGOVIA C/V CUESTA DE LA VEGA","DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ANTIGUA ALAMEDA DE LA VIRGEN DEL PUERTO YJARDINES DE LA CUESTA DE LA VEGA. DENTRO DE SU PERIMETRO SE ENCUENTRAN UBICADOS UN EVACUATORIO, UNCANTON DE LIMPIEZAS, UNA CASETA DE PERSONAL DE JARDINERÍA Y UNA PISTA POLIVALENTE.","106811.18 m2"
http://linkeddata.greenzonesmadrid.org/resource/zone/9,http://linkeddata.greenzonesmadrid.org/resource/district/CENTRO,Q1763376,CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300008,URBANA,"CALLE DE SEGOVIA, Nº 31 Y 37 C/V CUESTA DE JAVALQUINTO","DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ACCESOS AL VIADUCTO.","1999.63 m2"
http://linkeddata.greenzonesmadrid.org/resource/zone/10,http://linkeddata.greenzonesmadrid.org/resource/district/CENTRO,Q1763376,CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300009,URBANA,"CALLE DE SEGOVIA NUM 35","DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO PARA ZONA VERDE. ACCESOS AL VIADUCTO.","1374.79 m2"
